               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.7353,              2.1523,              1.6128,             0.35044,             0.46416,             0.31258,              0.1115,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.6924,              2.1342,              1.6118,             0.38911,             0.47526,             0.38912,              0.1574,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.6376,              2.1617,               1.663,             0.42994,             0.49799,             0.42419,             0.17277,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.6767,              2.1504,              1.6551,             0.43316,             0.51169,              0.4455,             0.17574,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.6491,              2.0847,              1.6059,             0.50737,             0.55287,              0.5215,              0.2291,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.6294,              2.0667,               1.621,             0.45027,             0.51209,             0.43513,             0.17306,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.6986,              2.1413,              1.6306,             0.48889,             0.56429,             0.51301,             0.22082,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.6517,              2.1285,              1.6384,             0.41806,             0.53413,              0.4273,             0.15805,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.6433,              2.0639,               1.611,             0.46161,             0.57261,             0.51205,             0.22346,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.6339,               2.071,              1.6161,             0.49039,             0.55764,             0.49127,              0.1983,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.5956,              2.0995,              1.6483,             0.49026,             0.53174,             0.48499,             0.19504,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.5905,              2.0279,              1.5981,             0.46744,             0.53916,             0.50069,             0.22029,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.5751,              2.0602,               1.613,             0.52152,             0.56827,             0.55387,             0.25486,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,               2.539,              2.0342,              1.5801,              0.4807,             0.53686,              0.4936,             0.20445,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.6564,              2.0252,              1.6049,             0.51327,             0.56472,             0.53826,             0.23513,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.5588,              1.9958,              1.5942,             0.50681,             0.59208,             0.55411,             0.25143,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.5119,               1.974,              1.6124,             0.47916,              0.5468,             0.49841,             0.21018,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.5578,              1.9798,              1.6006,             0.53319,             0.59273,             0.56966,             0.25678,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
